time_s,sample,concentration_cells_ml,led_mode,r,g,b,c,dark_r,dark_g,dark_b,dark_c
0.0,algae_30k_cells_ml,30000,white,13313,18323,27896,36094,256.99,177.68,134.39,569.33
2.0,algae_30k_cells_ml,30000,white,13301,18337,27897,36065,257.49,176.97,134.72,570.55
4.0,algae_30k_cells_ml,30000,white,13290,18340,27907,36039,255.67,178.99,135.21,567.39
6.0,algae_30k_cells_ml,30000,white,13283,18348,27911,35888,257.03,178.50,135.77,569.43
8.0,algae_30k_cells_ml,30000,white,13280,18350,27916,35962,256.80,179.68,132.63,568.93
10.0,algae_30k_cells_ml,30000,white,13269,18327,27853,35917,256.62,177.03,134.88,570.78
12.0,algae_30k_cells_ml,30000,white,13270,18357,27918,35916,257.08,177.09,135.96,568.85
14.0,algae_30k_cells_ml,30000,white,13256,18351,27920,35811,256.66,177.88,134.84,567.26
16.0,algae_30k_cells_ml,30000,white,13254,18352,27925,35786,257.79,178.03,136.19,567.95
18.0,algae_30k_cells_ml,30000,white,13253,18354,27925,35837,255.79,181.39,134.42,569.58
20.0,algae_30k_cells_ml,30000,white,13246,18358,27927,35732,255.20,179.14,135.42,568.89
22.0,algae_30k_cells_ml,30000,white,13251,18365,27932,35718,258.72,178.20,134.73,569.45
24.0,algae_30k_cells_ml,30000,white,13242,18363,27938,35607,257.97,177.92,134.37,570.66
26.0,algae_30k_cells_ml,30000,white,13244,18367,27942,35603,257.98,178.73,133.88,567.80
29.0,algae_30k_cells_ml,30000,white,13242,18367,27949,35547,256.52,180.69,134.91,569.21
31.0,algae_30k_cells_ml,30000,white,13236,18361,27927,35571,260.07,178.83,136.15,569.28
33.0,algae_30k_cells_ml,30000,white,13234,18367,27949,35632,257.13,179.70,138.37,568.71
35.0,algae_30k_cells_ml,30000,white,13234,18369,27958,35417,257.69,179.38,136.54,568.86
37.0,algae_30k_cells_ml,30000,white,13234,18374,27959,35420,254.37,177.82,135.51,569.92
39.0,algae_30k_cells_ml,30000,white,13229,18370,27945,35512,256.47,178.47,137.27,570.20
41.0,algae_30k_cells_ml,30000,white,13230,18366,27950,35461,258.08,177.75,135.57,569.62
43.0,algae_30k_cells_ml,30000,white,13228,18365,27945,35291,256.80,174.64,132.68,568.21
45.0,algae_30k_cells_ml,30000,white,13225,18365,27948,35394,257.35,175.98,137.38,569.91
47.0,algae_30k_cells_ml,30000,white,13227,18369,27950,35468,256.87,177.34,135.63,568.91
49.0,algae_30k_cells_ml,30000,white,13225,18370,27948,35356,255.89,178.42,135.07,569.42
51.0,algae_30k_cells_ml,30000,white,13222,18367,27943,35172,257.25,176.64,134.52,568.31
53.0,algae_30k_cells_ml,30000,white,13223,18370,27960,35282,257.84,177.42,135.23,569.73
56.0,algae_30k_cells_ml,30000,white,13223,18372,27964,35223,256.92,175.73,136.46,570.80
58.0,algae_30k_cells_ml,30000,white,13222,18373,27959,35129,256.35,177.77,134.62,567.36
60.0,algae_30k_cells_ml,30000,white,13224,18373,27951,35181,256.52,177.75,133.77,567.18
