time_s,sample,concentration_cells_ml,led_mode,r,g,b,c,dark_r,dark_g,dark_b,dark_c
0.0,algae_10k_cells_ml,10000,white,24426,36338,39236,42037,254.64,176.98,134.77,571.37
2.0,algae_10k_cells_ml,10000,white,24412,36451,39007,42119,258.00,176.52,135.36,568.69
4.0,algae_10k_cells_ml,10000,white,24466,36381,39033,42010,256.99,178.44,134.58,569.96
6.0,algae_10k_cells_ml,10000,white,24266,36240,38906,41973,258.56,177.12,134.54,568.13
8.0,algae_10k_cells_ml,10000,white,24233,36254,38960,42024,255.44,180.89,133.67,570.73
10.0,algae_10k_cells_ml,10000,white,24231,36249,38622,42023,256.82,179.08,134.29,567.25
12.0,algae_10k_cells_ml,10000,white,24133,36164,38917,41894,258.28,178.60,136.23,570.03
14.0,algae_10k_cells_ml,10000,white,24042,36221,38841,41870,256.89,176.53,135.29,568.42
16.0,algae_10k_cells_ml,10000,white,24177,36224,38628,41946,256.09,178.96,134.50,568.79
18.0,algae_10k_cells_ml,10000,white,23943,35918,38909,41965,256.03,175.79,136.36,570.14
20.0,algae_10k_cells_ml,10000,white,24060,36091,38860,41781,259.81,178.43,135.34,569.76
22.0,algae_10k_cells_ml,10000,white,24045,35928,38643,41870,257.21,177.72,134.94,571.61
24.0,algae_10k_cells_ml,10000,white,23854,36071,38632,41835,256.53,179.39,135.58,567.42
26.0,algae_10k_cells_ml,10000,white,23682,35905,38657,41835,256.78,179.40,135.87,568.09
29.0,algae_10k_cells_ml,10000,white,23743,36166,38513,41784,256.27,179.11,136.67,568.37
31.0,algae_10k_cells_ml,10000,white,23654,35857,38492,41797,255.15,178.32,136.36,569.72
33.0,algae_10k_cells_ml,10000,white,23621,35827,38472,41703,258.36,178.36,136.74,570.34
35.0,algae_10k_cells_ml,10000,white,23699,35726,38324,41765,256.95,178.64,135.82,568.83
37.0,algae_10k_cells_ml,10000,white,23467,35662,38551,41777,258.12,175.52,133.60,570.78
39.0,algae_10k_cells_ml,10000,white,23423,35786,38388,41606,257.57,178.55,135.11,569.63
41.0,algae_10k_cells_ml,10000,white,23505,35618,38377,41517,256.73,179.01,136.48,566.84
43.0,algae_10k_cells_ml,10000,white,23468,35699,38386,41612,256.21,178.56,136.68,569.09
45.0,algae_10k_cells_ml,10000,white,23296,35670,38196,41548,259.27,176.96,135.22,570.31
47.0,algae_10k_cells_ml,10000,white,23466,35448,38370,41627,256.55,178.38,134.02,568.74
49.0,algae_10k_cells_ml,10000,white,23201,35602,38135,41517,256.42,175.72,136.20,571.78
51.0,algae_10k_cells_ml,10000,white,23244,35624,38158,41561,257.45,178.26,134.56,568.93
53.0,algae_10k_cells_ml,10000,white,23175,35464,38156,41366,257.61,177.57,134.88,570.27
56.0,algae_10k_cells_ml,10000,white,23206,35400,38114,41539,257.63,176.44,137.46,570.61
58.0,algae_10k_cells_ml,10000,white,23161,35419,37956,41538,255.99,177.56,136.00,568.72
60.0,algae_10k_cells_ml,10000,white,23049,35282,38155,41318,257.01,178.55,136.81,570.00
