time_s,sample,concentration_cells_ml,led_mode,r,g,b,c,dark_r,dark_g,dark_b,dark_c
0.0,water_blank,0,white,28575,41149,42307,43537,256.46,177.50,133.45,570.20
2.0,water_blank,0,white,28561,41231,42236,43619,256.97,179.70,134.64,570.95
4.0,water_blank,0,white,28618,41221,42170,43510,258.24,178.07,136.16,569.57
6.0,water_blank,0,white,28596,41164,42277,43473,258.00,176.55,134.15,569.92
8.0,water_blank,0,white,28634,41142,42260,43524,256.95,178.71,135.97,569.02
10.0,water_blank,0,white,28670,41201,42241,43523,258.39,177.97,133.62,570.34
12.0,water_blank,0,white,28597,41152,42228,43394,257.04,178.10,135.16,570.03
14.0,water_blank,0,white,28590,41168,42248,43370,258.44,177.06,136.53,568.96
16.0,water_blank,0,white,28610,41172,42295,43446,256.40,177.69,136.44,570.26
18.0,water_blank,0,white,28580,41106,42323,43465,258.08,177.72,137.60,567.86
20.0,water_blank,0,white,28563,41152,42268,43281,258.05,178.72,137.65,570.23
22.0,water_blank,0,white,28522,41142,42220,43370,259.98,177.90,133.73,568.90
24.0,water_blank,0,white,28566,41108,42216,43335,257.13,179.73,135.30,567.42
26.0,water_blank,0,white,28553,41095,42042,43335,257.85,176.00,135.25,567.61
29.0,water_blank,0,white,28498,41013,42170,43284,257.68,177.35,136.08,567.81
31.0,water_blank,0,white,28528,41012,42153,43297,256.94,176.91,134.80,568.61
33.0,water_blank,0,white,28511,41053,42231,43203,256.93,178.31,134.86,567.06
35.0,water_blank,0,white,28528,40986,42110,43265,259.17,178.65,135.71,569.21
37.0,water_blank,0,white,28500,41057,42230,43277,255.01,177.41,136.13,569.51
39.0,water_blank,0,white,28581,41144,42076,43106,258.00,179.27,134.21,570.15
41.0,water_blank,0,white,28465,40991,42113,43017,260.17,178.55,135.81,568.60
43.0,water_blank,0,white,28553,41061,42098,43112,258.80,177.60,135.07,571.17
45.0,water_blank,0,white,28502,41060,42058,43048,258.02,178.34,135.63,570.96
47.0,water_blank,0,white,28466,40935,42135,43127,256.14,178.30,135.93,569.08
49.0,water_blank,0,white,28415,41054,42198,43017,257.90,179.12,136.27,569.11
51.0,water_blank,0,white,28522,41014,42088,43061,259.05,177.92,135.39,567.09
53.0,water_blank,0,white,28438,40968,42015,42891,256.75,178.66,134.32,569.98
56.0,water_blank,0,white,28389,40989,42049,43039,258.52,177.88,137.18,569.23
58.0,water_blank,0,white,28449,40962,42068,43038,255.83,178.82,135.20,570.14
60.0,water_blank,0,white,28378,41000,41984,42818,256.83,178.02,136.88,569.83
