time_s,mode,temp_c,raw_adc,resistance_ohm,target_c,error,pid_output,cooling_pwm,algae_pump,waste_pump,peltier,algae_od,algae_cells,Am,Aa,Wm,Wa
7,auto,20.915,2235.4,12020.9,17.5,3.415,100.0,1023,1,0,1,-0.476,0,0.3996,1.0001,0.0002,0.0
10,auto,20.819,2239.8,12073.7,17.5,3.319,100.0,1023,1,0,1,-0.476,0,0.4263,0.9557,0.0003,0.0
12,auto,20.503,2254.5,12249.4,17.5,3.003,100.0,1023,1,0,1,-0.476,0,0.4497,0.9132,0.0003,0.0
14,auto,20.418,2258.4,12297.2,17.5,2.918,100.0,1023,1,0,1,-0.476,0,0.4702,0.8726,0.0004,0.0
16,auto,20.502,2254.6,12250.0,17.5,3.002,100.0,1023,1,0,1,-0.476,0,0.4969,0.8145,0.0004,0.0
19,auto,20.958,2233.4,11997.2,17.5,3.458,100.0,1023,1,0,1,-0.476,0,0.5109,0.7783,0.0005,0.0
21,auto,20.755,2242.8,12108.8,17.5,3.255,100.0,1023,1,0,1,-0.476,0,0.5227,0.7437,0.0006,0.0
23,auto,20.645,2247.9,12169.9,17.5,3.145,100.0,1023,1,0,1,-0.476,0,0.5324,0.7107,0.0006,0.0
25,auto,21.365,2214.6,11776.7,17.5,3.865,100.0,1023,1,0,1,-0.476,0,0.5402,0.6791,0.0007,0.0
27,auto,20.545,2252.6,12225.8,17.5,3.045,100.0,1023,0,0,1,-0.476,0,0.5493,0.6339,0.0008,0.0
30,auto,21.297,2217.7,11813.2,17.5,3.797,100.0,1023,0,0,1,-0.476,0,0.5492,0.6339,0.0008,0.0
32,auto,21.233,2220.6,11847.6,17.5,3.733,100.0,1023,0,0,1,-0.476,0,0.5491,0.6339,0.0009,0.0
34,auto,21.091,2227.2,11924.2,17.5,3.591,100.0,1023,0,0,1,-0.476,0,0.549,0.6339,0.001,0.0
36,auto,21.116,2226.0,11910.7,17.5,3.616,100.0,1023,0,0,1,-0.476,0,0.5489,0.6339,0.001,0.0
38,auto,21.164,2223.8,11884.9,17.5,3.664,100.0,1023,0,0,1,-0.4763,0,0.5488,0.6339,0.0011,0.0
42,auto,21.333,2216.0,11793.5,17.5,3.833,100.0,1023,0,0,1,-0.4763,0,0.5486,0.6339,0.0012,0.0
44,auto,21.188,2222.8,11872.1,17.5,3.688,100.0,1023,0,0,1,-0.4763,0,0.5485,0.634,0.0013,0.0
46,auto,21.163,2223.9,11885.5,17.5,3.663,100.0,1023,0,0,1,-0.4763,0,0.5484,0.634,0.0014,0.0
48,auto,21.575,2204.8,11664.4,17.5,4.075,100.0,1023,0,0,1,-0.4763,0,0.5483,0.634,0.0014,0.0
50,auto,21.311,2217.0,11805.7,17.5,3.811,100.0,1023,0,0,1,-0.4763,0,0.5481,0.634,0.0015,0.0
53,auto,21.349,2215.2,11784.8,17.5,3.849,100.0,1023,0,0,1,-0.4763,0,0.548,0.634,0.0016,0.0
