time_s,sample,concentration_cells_ml,led_mode,r,g,b,c,dark_r,dark_g,dark_b,dark_c
0.0,algae_30k_cells_ml,30000,white,13313,18323,27896,44032,6423.87,2905.26,1261.61,10750.57
2.0,algae_30k_cells_ml,30000,white,13301,18337,27897,44032,6423.87,2905.26,1261.61,10750.57
4.0,algae_30k_cells_ml,30000,white,13290,18340,27907,44032,6423.87,2905.26,1261.61,10750.57
6.0,algae_30k_cells_ml,30000,white,13283,18348,27911,44032,6423.87,2905.26,1261.61,10750.57
8.0,algae_30k_cells_ml,30000,white,13280,18350,27916,44032,6423.87,2905.26,1261.61,10750.57
10.0,algae_30k_cells_ml,30000,white,13269,18327,27853,44032,6423.87,2905.26,1261.61,10750.57
12.0,algae_30k_cells_ml,30000,white,13270,18357,27918,44032,6423.87,2905.26,1261.61,10750.57
14.0,algae_30k_cells_ml,30000,white,13256,18351,27920,44032,6423.87,2905.26,1261.61,10750.57
16.0,algae_30k_cells_ml,30000,white,13254,18352,27925,44032,6423.87,2905.26,1261.61,10750.57
18.0,algae_30k_cells_ml,30000,white,13253,18354,27925,44032,6423.87,2905.26,1261.61,10750.57
20.0,algae_30k_cells_ml,30000,white,13246,18358,27927,44032,6423.87,2905.26,1261.61,10750.57
22.0,algae_30k_cells_ml,30000,white,13251,18365,27932,44032,6423.87,2905.26,1261.61,10750.57
24.0,algae_30k_cells_ml,30000,white,13242,18363,27938,44032,6423.87,2905.26,1261.61,10750.57
26.0,algae_30k_cells_ml,30000,white,13244,18367,27942,44032,6423.87,2905.26,1261.61,10750.57
29.0,algae_30k_cells_ml,30000,white,13242,18367,27949,44032,6423.87,2905.26,1261.61,10750.57
31.0,algae_30k_cells_ml,30000,white,13236,18361,27927,44032,6423.87,2905.26,1261.61,10750.57
33.0,algae_30k_cells_ml,30000,white,13234,18367,27949,44032,6423.87,2905.26,1261.61,10750.57
35.0,algae_30k_cells_ml,30000,white,13234,18369,27958,44032,6423.87,2905.26,1261.61,10750.57
37.0,algae_30k_cells_ml,30000,white,13234,18374,27959,44032,6423.87,2905.26,1261.61,10750.57
39.0,algae_30k_cells_ml,30000,white,13229,18370,27945,44032,6423.87,2905.26,1261.61,10750.57
41.0,algae_30k_cells_ml,30000,white,13230,18366,27950,44032,6423.87,2905.26,1261.61,10750.57
43.0,algae_30k_cells_ml,30000,white,13228,18365,27945,44032,6423.87,2905.26,1261.61,10750.57
45.0,algae_30k_cells_ml,30000,white,13225,18365,27948,44032,6423.87,2905.26,1261.61,10750.57
47.0,algae_30k_cells_ml,30000,white,13227,18369,27950,44032,6423.87,2905.26,1261.61,10750.57
49.0,algae_30k_cells_ml,30000,white,13225,18370,27948,44032,6423.87,2905.26,1261.61,10750.57
51.0,algae_30k_cells_ml,30000,white,13222,18367,27943,44032,6423.87,2905.26,1261.61,10750.57
53.0,algae_30k_cells_ml,30000,white,13223,18370,27960,44032,6423.87,2905.26,1261.61,10750.57
55.0,algae_30k_cells_ml,30000,white,13223,18372,27964,44032,6423.87,2905.26,1261.61,10750.57
58.0,algae_30k_cells_ml,30000,white,13222,18373,27959,44032,6423.87,2905.26,1261.61,10750.57
60.0,algae_30k_cells_ml,30000,white,13224,18373,27951,44032,6423.87,2905.26,1261.61,10750.57
