time_s,stage,stage_time_s,pump_pwm,temp_c,raw_adc,cooling_on,notes
0,1,0,300,24.350678,2077.1,1,cooling
2,1,2,300,24.3846132,2075.55,1,cooling
5,1,5,300,23.940704,2095.85,1,cooling
7,1,7,300,23.751922,2104.5,1,cooling
9,1,9,300,24.985718,2048.15,1,cooling
11,1,11,300,24.358338,2076.75,1,cooling
13,1,13,300,24.51059,2069.8,1,cooling
16,1,16,300,24.468964,2071.7,1,cooling
18,1,18,300,24.023742,2092.05,1,cooling
20,1,20,300,24.321136,2078.45,1,cooling
22,1,22,300,24.37259,2076.1,1,cooling
24,1,24,300,24.593872,2066.0,1,cooling
26,1,26,300,24.247834,2081.8,1,cooling
29,1,29,300,24.23581,2082.35,1,cooling
31,1,31,300,24.264252,2081.05,1,cooling
33,1,33,300,24.532502,2068.8,1,cooling
35,1,35,300,24.147216,2086.4,1,cooling
37,1,37,300,24.278472,2080.4,1,cooling
40,1,40,300,24.522614,2069.25,1,cooling
42,1,42,300,23.98767,2093.7,1,cooling
44,1,44,300,24.701324,2061.1,1,cooling
47,1,47,300,24.056488,2090.55,1,cooling
49,1,49,300,24.458008,2072.2,1,cooling
51,1,51,300,24.194244,2084.25,1,cooling
53,1,53,300,24.850616,2054.3,1,cooling
55,1,55,300,24.08493,2089.25,1,cooling
58,1,58,300,24.31018,2078.95,1,cooling
60,1,60,300,24.314576,2078.75,1,cooling
62,1,62,300,24.113342,2087.95,1,cooling
64,1,64,300,24.369294,2076.25,1,cooling
66,1,66,300,24.35727,2076.8,1,cooling
69,1,69,300,24.105682,2088.3,1,cooling
71,1,71,300,24.187684,2084.55,1,cooling
73,1,73,300,24.438294,2073.1,1,cooling
75,1,75,300,24.06961,2089.95,1,cooling
77,1,77,300,24.246734,2081.85,1,cooling
80,1,80,300,24.25766,2081.35,1,cooling
82,1,82,300,23.898132,2097.8,1,cooling
84,1,84,300,24.536896,2068.6,1,cooling
86,1,86,300,24.254394,2081.5,1,cooling
88,1,88,300,24.366028,2076.4,1,cooling
91,1,91,300,24.229248,2082.65,1,cooling
93,1,93,300,24.276276,2080.5,1,cooling
95,1,95,300,24.4678652,2071.75,1,cooling
97,1,97,300,24.020446,2092.2,1,cooling
99,1,99,300,24.33319,2077.9,1,cooling
101,1,101,300,24.491944,2070.65,1,cooling
104,1,104,300,24.269714,2080.8,1,cooling
106,1,106,300,24.650878,2063.4,1,cooling
108,1,108,300,23.901428,2097.65,1,cooling
110,1,110,300,24.022644,2092.1,1,cooling
112,1,112,300,24.568664,2067.15,1,cooling
115,1,115,300,24.473328,2071.5,1,cooling
117,1,117,300,24.254394,2081.5,1,cooling
119,1,119,300,24.130828,2087.15,1,cooling
121,1,121,300,24.612488,2065.15,1,cooling
124,1,124,300,24.202972,2083.85,1,cooling
126,1,126,300,24.190948,2084.4,1,cooling
128,1,128,300,24.5094916,2069.85,1,cooling
130,1,130,300,24.447052,2072.7,1,cooling
132,1,132,300,24.816558,2055.85,1,cooling
135,1,135,300,24.07837,2089.55,1,cooling
137,1,137,300,24.476624,2071.35,1,cooling
139,1,139,300,24.283936,2080.15,1,cooling
141,1,141,300,24.187684,2084.55,1,cooling
143,1,143,300,24.52481,2069.15,1,cooling
146,1,146,300,24.711212,2060.65,1,cooling
148,1,148,300,24.17566,2085.1,1,cooling
150,1,150,300,24.484284,2071.0,1,cooling
152,1,152,300,24.49414,2070.55,1,cooling
155,1,155,300,24.644288,2063.7,1,cooling
157,1,157,300,24.599366,2065.75,1,cooling
159,1,159,300,24.60373,2065.55,1,cooling
161,1,161,300,24.105682,2088.3,1,cooling
163,1,163,300,24.466766,2071.8,1,cooling
166,1,166,300,24.559876,2067.55,1,cooling
168,1,168,300,24.132996,2087.05,1,cooling
170,1,170,300,24.511658,2069.75,1,cooling
172,1,172,300,24.534698,2068.7,1,cooling
175,1,175,300,24.59497,2065.95,1,cooling
177,1,177,300,24.223786,2082.9,1,cooling
179,1,179,300,25.026398,2046.3,1,cooling
182,2,0,500,24.185486,2084.65,1,cooling
184,2,2,500,24.558808,2067.6,1,cooling
186,2,4,500,24.262054,2081.15,1,cooling
188,2,6,500,24.064148,2090.2,1,cooling
191,2,9,500,24.47882,2071.25,1,cooling
193,2,11,500,24.36383,2076.5,1,cooling
195,2,13,500,24.349578,2077.15,1,cooling
197,2,15,500,24.498536,2070.35,1,cooling
199,2,17,500,24.591674,2066.1,1,cooling
202,2,20,500,24.271912,2080.7,1,cooling
204,2,22,500,24.190948,2084.4,1,cooling
206,2,24,500,24.217224,2083.2,1,cooling
208,2,26,500,24.2052,2083.75,1,cooling
211,2,29,500,24.10785,2088.2,1,cooling
213,2,31,500,24.459106,2072.15,1,cooling
215,2,33,500,24.222686,2082.95,1,cooling
217,2,35,500,24.72107,2060.2,1,cooling
219,2,37,500,24.424042,2073.75,1,cooling
222,2,40,500,24.1669,2085.5,1,cooling
224,2,42,500,24.180024,2084.9,1,cooling
226,2,44,500,24.769378,2058.0,1,cooling
228,2,46,500,24.221588,2083.0,1,cooling
230,2,48,500,24.22815,2082.7,1,cooling
233,2,51,500,24.49414,2070.55,1,cooling
235,2,53,500,24.403228,2074.7,1,cooling
237,2,55,500,24.04123,2091.25,1,cooling
239,2,57,500,24.732056,2059.7,1,cooling
241,2,59,500,24.2117316,2083.45,1,cooling
244,2,62,500,24.190948,2084.4,1,cooling
246,2,64,500,24.206268,2083.7,1,cooling
248,2,66,500,24.278472,2080.4,1,cooling
250,2,68,500,24.080536,2089.45,1,cooling
252,2,70,500,24.383544,2075.6,1,cooling
255,2,73,500,24.23471,2082.4,1,cooling
257,2,75,500,24.165802,2085.55,1,cooling
259,2,77,500,24.41858,2074.0,1,cooling
261,2,79,500,24.404328,2074.65,1,cooling
263,2,81,500,24.53357,2068.75,1,cooling
266,2,84,500,24.312378,2078.85,1,cooling
268,2,86,500,23.970214,2094.5,1,cooling
270,2,88,500,24.370392,2076.2,1,cooling
272,2,90,500,24.346314,2077.3,1,cooling
274,2,92,500,24.263154,2081.1,1,cooling
277,2,95,500,24.131928,2087.1,1,cooling
279,2,97,500,24.098022,2088.65,1,cooling
281,2,99,500,24.18332,2084.75,1,cooling
283,2,101,500,25.060486,2044.75,1,cooling
285,2,103,500,24.116638,2087.8,1,cooling
288,2,106,500,23.904694,2097.5,1,cooling
290,2,108,500,24.020446,2092.2,1,cooling
292,2,110,500,23.8741152,2098.9,1,cooling
294,2,112,500,24.029174,2091.8,1,cooling
296,2,114,500,23.777008,2103.35,1,cooling
299,2,117,500,23.84793,2100.1,1,cooling
301,2,119,500,24.470032,2071.65,1,cooling
303,2,121,500,23.83374,2100.75,1,cooling
305,2,123,500,24.241272,2082.1,1,cooling
307,2,125,500,24.089294,2089.05,1,cooling
309,2,127,500,24.094758,2088.8,1,cooling
312,2,130,500,24.308014,2079.05,1,cooling
314,2,132,500,24.29486,2079.65,1,cooling
317,2,135,500,23.816284,2101.55,1,cooling
319,2,137,500,23.77591,2103.4,1,cooling
321,2,139,500,23.964752,2094.75,1,cooling
323,2,141,500,23.64505,2109.4,1,cooling
325,2,143,500,23.806458,2102.0,1,cooling
328,2,146,500,24.16037,2085.8,1,cooling
330,2,148,500,24.194244,2084.25,1,cooling
332,2,150,500,23.554596,2113.55,1,cooling
334,2,152,500,24.324432,2078.3,1,cooling
336,2,154,500,23.911254,2097.2,1,cooling
338,2,156,500,23.871948,2099.0,1,cooling
341,2,159,500,24.015014,2092.45,1,cooling
343,2,161,500,23.767182,2103.8,1,cooling
345,2,163,500,24.065246,2090.15,1,cooling
347,2,165,500,24.201904,2083.9,1,cooling
350,2,168,500,24.468964,2071.7,1,cooling
352,2,170,500,23.90033,2097.7,1,cooling
354,2,172,500,24.143952,2086.55,1,cooling
356,2,174,500,23.757386,2104.25,1,cooling
358,2,176,500,23.491394,2116.45,1,cooling
361,2,179,500,24.161438,2085.75,1,cooling
363,3,0,700,23.964752,2094.75,1,cooling
365,3,2,700,23.888336,2098.25,1,cooling
367,3,4,700,24.2040708,2083.8,1,cooling
369,3,6,700,23.733398,2105.35,1,cooling
372,3,9,700,23.985504,2093.8,1,cooling
374,3,11,700,23.807556,2101.95,1,cooling
376,3,13,700,24.51715,2069.5,1,cooling
378,3,15,700,23.6788332,2107.85,1,cooling
381,3,18,700,23.28238,2126.05,1,cooling
