time_s,test,temp_c,fan_state,clear,red,green,blue,white_r,white_g,white_b
0,BLANK,24.366936,ON,9338,4031,3043,2692,1023,720,430
2,BLANK,24.4407732,ON,9334,4014,3051,2700,1023,720,430
5,BLANK,24.370736,ON,9340,4018,3054,2703,1023,720,430
7,BLANK,24.430442,ON,9327,4010,3051,2702,1023,720,430
9,BLANK,24.105702,ON,9350,4014,3062,2712,1023,720,430
12,BLANK,24.161094,ON,9354,4015,3063,2713,1023,720,430
14,BLANK,24.688626,ON,9338,4009,3058,2711,1023,720,430
16,BLANK,24.768372,ON,9338,4008,3059,2709,1023,720,430
19,BLANK,24.466304,ON,9350,4009,3065,2716,1023,720,430
21,BLANK,24.421806,ON,9343,4011,3061,2714,1023,720,430
23,BLANK,24.484612,ON,9345,4010,3063,2713,1023,720,430
26,BLANK,24.140984,ON,9361,4013,3069,2720,1023,720,430
28,BLANK,24.657582,ON,9364,4014,3071,2722,1023,720,430
30,BLANK,24.993714,ON,9340,4007,3063,2715,1023,720,430
33,BLANK,24.753132,ON,9346,4011,3064,2715,1023,720,430
35,BLANK,24.219304,ON,9356,4016,3068,2718,1023,720,430
37,BLANK,23.993084,ON,9364,4015,3070,2723,1023,720,430
40,BLANK,24.049068,ON,9350,4010,3065,2719,1023,720,430
42,BLANK,24.766442,ON,9347,4009,3066,2718,1023,720,430
44,BLANK,24.18375,ON,9349,4003,3070,2721,1023,720,430
47,BLANK,24.467052,ON,9347,4004,3069,2721,1023,720,430
49,BLANK,24.415532,ON,9351,4007,3070,2721,1023,720,430
51,BLANK,23.85733,ON,9352,4006,3071,2721,1023,720,430
54,BLANK,24.1912268,ON,9356,4005,3073,2724,1023,720,430
56,BLANK,24.286804,ON,9341,3999,3067,2720,1023,720,430
58,BLANK,25.012252,ON,9340,4001,3067,2717,1023,720,430
61,BLANK,23.966194,ON,9353,4004,3071,2723,1023,720,430
63,BLANK,24.6812624,ON,9346,4005,3070,2719,1023,720,430
65,BLANK,24.016308,ON,9364,4009,3071,2720,1023,720,430
68,BLANK,24.002888,ON,9349,4004,3070,2721,1023,720,430
70,BLANK,24.752994,ON,9354,4010,3072,2721,1023,720,430
72,BLANK,24.311432,ON,9364,4009,3076,2727,1023,720,430
75,BLANK,24.45824,ON,9352,4006,3069,2724,1023,720,430
77,BLANK,24.316956,ON,9364,4011,3077,2728,1023,720,430
79,BLANK,25.510532,ON,9357,4009,3073,2726,1023,720,430
82,BLANK,24.278846,ON,9345,4006,3069,2718,1023,720,430
84,BLANK,25.265618,ON,9371,4012,3078,2729,1023,720,430
86,BLANK,24.8430708,ON,9348,4006,3070,2721,1023,720,430
89,BLANK,24.602218,ON,9345,4004,3068,2721,1023,720,430
91,BLANK,24.672368,ON,9339,3995,3068,2720,1023,720,430
93,BLANK,24.268402,ON,9326,3991,3061,2715,1023,720,430
96,BLANK,24.478192,ON,9321,3996,3063,2714,1023,720,430
98,BLANK,24.5034368,ON,9369,4014,3078,2730,1023,720,430
101,BLANK,25.056678,ON,9321,3993,3062,2714,1023,720,430
103,BLANK,24.610492,ON,9363,4009,3077,2729,1023,720,430
105,BLANK,25.097484,ON,9335,4002,3065,2723,1023,720,430
108,BLANK,23.734124,ON,9354,4011,3072,2723,1023,720,430
110,BLANK,24.355496,ON,9369,4014,3075,2729,1023,720,430
112,BLANK,24.728428,ON,9347,4007,3069,2721,1023,720,430
115,BLANK,24.608822,ON,9355,4004,3074,2725,1023,720,430
117,BLANK,24.6336252,ON,9356,4009,3072,2723,1023,720,430
119,BLANK,25.348224,ON,9376,4014,3080,2730,1023,720,430
122,BLANK,23.88369,ON,9358,4008,3072,2727,1023,720,430
124,BLANK,24.83474,ON,9376,4014,3079,2730,1023,720,430
126,BLANK,24.665962,ON,9368,4013,3074,2728,1023,720,430
129,BLANK,24.495152,ON,9344,4002,3068,2719,1023,720,430
131,BLANK,24.210418,ON,9369,4012,3078,2729,1023,720,430
133,BLANK,25.46651,ON,9353,4007,3069,2724,1023,720,430
136,BLANK,24.175526,ON,9363,4013,3075,2724,1023,720,430
138,BLANK,24.55774,ON,9373,4014,3079,2731,1023,720,430
141,BLANK,24.641716,ON,9366,4008,3079,2730,1023,720,430
143,BLANK,25.276004,ON,9344,4001,3070,2724,1023,720,430
146,BLANK,24.500312,ON,9334,3996,3067,2718,1023,720,430
148,BLANK,24.859298,ON,9361,4006,3074,2727,1023,720,430
150,BLANK,24.684692,ON,9354,4009,3074,2724,1023,720,430
153,BLANK,24.776944,ON,9362,4008,3075,2728,1023,720,430
155,BLANK,24.628712,ON,9349,4004,3071,2722,1023,720,430
157,BLANK,24.64619,ON,9359,4011,3074,2725,1023,720,430
160,BLANK,24.555546,ON,9334,3991,3065,2720,1023,720,430
162,BLANK,24.9786116,ON,9436,4025,3096,2746,1023,720,430
164,BLANK,23.857438,ON,9676,4042,3179,2832,1023,720,430
167,BLANK,24.846092,ON,9703,4051,3185,2840,1023,720,430
169,BLANK,23.782048,ON,9701,4052,3183,2839,1023,720,430
172,BLANK,24.392524,ON,9699,4052,3184,2836,1023,720,430
174,BLANK,24.765522,ON,9685,4044,3178,2834,1023,720,430
176,BLANK,24.130752,ON,9701,4046,3187,2840,1023,720,430
179,BLANK,25.485524,ON,9688,4046,3178,2833,1023,720,430
181,BLANK,24.399814,ON,9690,4048,3179,2833,1023,720,430
183,BLANK,24.805282,ON,9691,4041,3182,2837,1023,720,430
186,BLANK,24.691052,ON,9707,4056,3186,2838,1023,720,430
188,BLANK,24.697238,ON,9720,4056,3192,2846,1023,720,430
190,BLANK,23.998424,ON,9686,4049,3180,2833,1023,720,430
193,BLANK,25.026612,ON,9703,4056,3186,2838,1023,720,430
195,BLANK,25.291966,ON,9713,4056,3188,2843,1023,720,430
197,BLANK,24.5136,ON,9707,4052,3187,2842,1023,720,430
200,BLANK,24.125306,ON,9699,4053,3183,2837,1023,720,430
202,BLANK,24.741784,ON,9705,4052,3186,2839,1023,720,430
204,BLANK,24.272098,ON,9706,4054,3185,2839,1023,720,430
207,BLANK,23.685928,ON,9703,4057,3185,2837,1023,720,430
209,BLANK,24.311626,ON,9708,4050,3189,2842,1023,720,430
211,BLANK,25.300744,ON,9722,4058,3193,2846,1023,720,430
214,BLANK,25.347724,ON,9692,4053,3182,2835,1023,720,430
216,BLANK,24.615326,ON,9682,4042,3177,2836,1023,720,430
218,BLANK,25.2985,ON,9696,4054,3181,2835,1023,720,430
221,BLANK,24.60706,ON,9707,4058,3183,2838,1023,720,430
223,BLANK,24.6349,ON,9697,4053,3181,2839,1023,720,430
225,BLANK,24.960388,ON,9705,4053,3186,2840,1023,720,430
228,BLANK,25.057586,ON,9700,4058,3183,2837,1023,720,430
230,BLANK,24.244366,ON,9695,4054,3181,2836,1023,720,430
232,BLANK,24.2645,ON,9721,4060,3192,2845,1023,720,430
235,BLANK,25.040688,ON,9698,4055,3182,2836,1023,720,430
237,BLANK,24.733062,ON,9710,4059,3185,2838,1023,720,430
239,BLANK,24.78785,ON,9696,4049,3184,2842,1023,720,430
242,BLANK,24.864052,ON,9716,4058,3188,2844,1023,720,430
244,BLANK,24.896934,ON,9700,4056,3183,2838,1023,720,430
246,BLANK,25.291286,ON,9705,4055,3184,2841,1023,720,430
249,BLANK,24.19292,ON,9704,4056,3184,2839,1023,720,430
251,BLANK,25.49923,ON,9706,4059,3184,2839,1023,720,430
253,BLANK,24.748532,ON,9709,4053,3186,2843,1023,720,430
256,BLANK,25.070694,ON,9700,4053,3184,2838,1023,720,430
258,BLANK,24.18755,ON,9702,4051,3184,2842,1023,720,430
260,BLANK,24.2956384,ON,9704,4050,3187,2842,1023,720,430
263,BLANK,24.485932,ON,9728,4064,3195,2847,1023,720,430
265,BLANK,24.796338,ON,9719,4056,3190,2846,1023,720,430
267,BLANK,24.27644,ON,9697,4051,3183,2838,1023,720,430
270,BLANK,24.468296,ON,9702,4050,3184,2842,1023,720,430
272,BLANK,25.387294,ON,9707,4055,3187,2841,1023,720,430
274,BLANK,25.00027,ON,9699,4052,3182,2825,1023,720,430
277,BLANK,24.484474,ON,9703,4052,3185,2841,1023,720,430
279,BLANK,24.618332,ON,9705,4054,3185,2839,1023,720,430
281,BLANK,24.965554,ON,9702,4052,3185,2842,1023,720,430
284,BLANK,24.187546,ON,9697,4049,3183,2838,1023,720,430
286,BLANK,24.632256,ON,9709,4056,3186,2844,1023,720,430
289,BLANK,25.359428,ON,9708,4056,3186,2843,1023,720,430
291,BLANK,25.237926,ON,9726,4059,3194,2848,1023,720,430
294,BLANK,24.51421,ON,9704,4056,3184,2838,1023,720,430
296,BLANK,24.563976,ON,9700,4053,3183,2840,1023,720,430
298,BLANK,24.767754,ON,9716,4056,3189,2844,1023,720,430
301,BLANK,25.059166,ON,10127,4126,3287,2937,1023,720,430
303,BLANK,24.678086,ON,10118,4118,3286,2935,1023,720,430
305,BLANK,24.495808,ON,10124,4126,3285,2934,1023,720,430
308,BLANK,25.26598,ON,10103,4114,3281,2930,1023,720,430
310,BLANK,24.701748,ON,10102,4116,3280,2931,1023,720,430
312,BLANK,25.267834,ON,10129,4125,3289,2936,1023,720,430
315,BLANK,24.799294,ON,10118,4126,3284,2933,1023,720,430
317,BLANK,24.387188,ON,10132,4128,3291,2939,1023,720,430
319,BLANK,24.258354,ON,10121,4128,3285,2934,1023,720,430
322,BLANK,24.57238,ON,10129,4129,3288,2938,1023,720,430
324,BLANK,23.987996,ON,10112,4126,3282,2930,1023,720,430
327,BLANK,24.60281,ON,10145,4133,3296,2942,1023,720,430
329,BLANK,25.035652,ON,10105,4119,3279,2926,1023,720,430
331,BLANK,24.040264,ON,10137,4131,3292,2939,1023,720,430
334,BLANK,24.919144,ON,10116,4123,3284,2930,1023,720,430
336,BLANK,24.88329,ON,10120,4126,3283,2934,1023,720,430
338,BLANK,24.873306,ON,10130,4128,3289,2936,1023,720,430
341,BLANK,24.593128,ON,10123,4125,3286,2933,1023,720,430
343,BLANK,24.764866,ON,10123,4126,3286,2932,1023,720,430
345,BLANK,25.2107016,ON,10093,4109,3276,2924,1023,720,430
348,BLANK,25.130054,ON,10131,4129,3290,2937,1023,720,430
350,BLANK,24.496822,ON,10135,4126,3291,2938,1023,720,430
352,BLANK,24.644672,ON,10112,4120,3284,2932,1023,720,430
355,BLANK,24.95243,ON,10115,4124,3283,2931,1023,720,430
357,BLANK,25.03915,ON,10112,4121,3281,2930,1023,720,430
359,BLANK,24.582336,ON,10110,4122,3281,2931,1023,720,430
362,BLANK,24.731736,ON,10136,4134,3291,2936,1023,720,430
364,BLANK,25.596318,ON,10089,4113,3276,2923,1023,720,430
366,BLANK,24.698666,ON,10114,4121,3285,2934,1023,720,430
369,BLANK,25.640312,ON,10124,4121,3288,2935,1023,720,430
371,BLANK,25.22821,ON,10106,4112,3281,2929,1023,720,430
373,BLANK,24.499744,ON,10111,4120,3282,2928,1023,720,430
376,BLANK,24.3055,ON,10126,4122,3287,2935,1023,720,430
378,BLANK,23.793758,ON,10138,4128,3294,2939,1023,720,430
380,BLANK,25.2413332,ON,10125,4118,3289,2937,1023,720,430
383,BLANK,24.434814,ON,10108,4121,3280,2927,1023,720,430
385,BLANK,24.05746,ON,10117,4125,3285,2932,1023,720,430
387,BLANK,24.740318,ON,10126,4126,3286,2936,1023,720,430
390,BLANK,24.6109808,ON,10135,4129,3289,2938,1023,720,430
392,BLANK,24.805358,ON,10126,4126,3289,2935,1023,720,430
394,BLANK,24.72549,ON,10102,4117,3280,2927,1023,720,430
