time_s,sample,concentration_cells_ml,led_mode,r,g,b,c,dark_r,dark_g,dark_b,dark_c
0.0,S2_BLANK,0,white,13895,14810,9531,36885,257.12,178.12,135.44,569.04
2.0,S2_BLANK,0,white,13948,14864,9565,37018,257.12,178.12,135.44,569.04
4.0,S2_BLANK,0,white,13882,14839,9549,36924,257.12,178.12,135.44,569.04
6.0,S2_BLANK,0,white,13692,14790,9491,36633,257.12,178.12,135.44,569.04
8.0,S2_BLANK,0,white,13110,14654,9325,35843,257.12,178.12,135.44,569.04
10.0,S2_BLANK,0,white,13829,14810,9531,36817,257.12,178.12,135.44,569.04
12.0,S2_BLANK,0,white,10010,13342,8169,30009,257.12,178.12,135.44,569.04
14.0,S2_BLANK,0,white,10010,13345,8168,30016,257.12,178.12,135.44,569.04
16.0,S2_BLANK,0,white,10017,13358,8174,30034,257.12,178.12,135.44,569.04
18.0,S2_BLANK,0,white,10033,13383,8189,30096,257.12,178.12,135.44,569.04
20.0,S2_BLANK,0,white,10031,13376,8185,30082,257.12,178.12,135.44,569.04
22.0,S2_BLANK,0,white,10022,13370,8180,30057,257.12,178.12,135.44,569.04
24.0,S2_BLANK,0,white,10012,13354,8173,30025,257.12,178.12,135.44,569.04
26.0,S2_BLANK,0,white,10027,13375,8184,30076,257.12,178.12,135.44,569.04
28.0,S2_BLANK,0,white,10032,13386,8190,30092,257.12,178.12,135.44,569.04
31.0,S2_BLANK,0,white,10033,13383,8188,30094,257.12,178.12,135.44,569.04
33.0,S2_BLANK,0,white,10037,13387,8193,30108,257.12,178.12,135.44,569.04
35.0,S2_BLANK,0,white,10036,13389,8191,30108,257.12,178.12,135.44,569.04
37.0,S2_BLANK,0,white,10036,13389,8193,30108,257.12,178.12,135.44,569.04
39.0,S2_BLANK,0,white,10036,13389,8190,30101,257.12,178.12,135.44,569.04
41.0,S2_BLANK,0,white,10041,13394,8195,30127,257.12,178.12,135.44,569.04
43.0,S2_BLANK,0,white,10042,13397,8195,30122,257.12,178.12,135.44,569.04
45.0,S2_BLANK,0,white,10046,13404,8200,30137,257.12,178.12,135.44,569.04
47.0,S2_BLANK,0,white,10041,13400,8196,30121,257.12,178.12,135.44,569.04
49.0,S2_BLANK,0,white,10048,13406,8201,30144,257.12,178.12,135.44,569.04
51.0,S2_BLANK,0,white,10050,13405,8204,30148,257.12,178.12,135.44,569.04
53.0,S2_BLANK,0,white,10053,13407,8202,30158,257.12,178.12,135.44,569.04
55.0,S2_BLANK,0,white,10046,13405,8199,30141,257.12,178.12,135.44,569.04
57.0,S2_BLANK,0,white,10049,13406,8201,30145,257.12,178.12,135.44,569.04
60.0,S2_BLANK,0,white,10049,13405,8201,30147,257.12,178.12,135.44,569.04
